variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable17,variable18,variable19,classLabel
a,1792,5.40E-04,u,g,c,v,175,f,t,1,t,g,80,5,8.00E+05,t,0,no.
b,1692,3.35E-03,y,p,k,v,29,f,f,0,f,s,200,0,2.00E+06,NA,0,no.
b,3125,1125,u,g,ff,ff,0,f,t,1,f,g,96,19,960000,t,0,no.
a,4817,1335,u,g,i,o,335,f,f,0,f,g,0,120,0,NA,0,no.
b,3233,35,u,g,k,v,5,f,f,0,t,g,232,0,2320000,f,0,no.
a,3483,125,y,p,i,h,5,f,f,0,t,g,160,0,1600000,f,0,no.
a,2617,2.00E-04,u,g,j,j,0,f,f,0,t,g,276,1,2760000,NA,0,no.
b,2117,8.75E-03,y,p,c,h,25,f,f,0,f,g,280,204,2800000,NA,0,no.
b,2892,3.75E-03,u,g,c,v,29,f,f,0,f,g,220,140,2200000,NA,0,no.
b,1817,1025,u,g,c,h,1085,f,f,0,f,g,320,13,3200000,NA,0,no.
a,2475,13665,u,g,q,h,15,f,f,0,f,g,280,1,2800000,f,0,no.
a,3175,3.00E-04,y,p,j,j,0,f,f,0,f,g,160,20,1600000,f,0,no.
a,1817,1,y,p,q,h,165,f,f,0,f,g,340,0,3400000,f,0,no.
a,1825,1,u,g,W,v,1,f,t,1,f,g,120,1,1200000,NA,0,no.
b,1758,1,u,g,W,h,165,f,t,1,f,g,120,1,1200000,t,0,no.
b,5183,204,y,p,ff,ff,15,f,f,0,f,g,120,1,1200000,NA,0,no.
b,2667,14585,u,g,i,bb,0,f,f,0,t,g,178,0,1780000,f,0,no.
b,3142,155,u,g,c,v,5,t,f,0,f,g,120,0,1200000,f,0,no.
b,2567,325,u,g,c,h,229,f,t,1,t,g,416,21,4160000,t,0,no.
b,3375,275,u,g,i,bb,0,f,f,0,f,g,180,0,1800000,f,0,no.
b,3275,2335,u,g,d,h,575,f,f,0,t,g,292,0,2920000,f,0,no.
b,3983,5.00E-05,u,g,m,v,25,t,f,0,f,s,288,0,2880000,NA,0,no.
a,4033,8125,y,p,k,v,165,f,t,2,f,g,NA,18,NA,NA,0,no.
b,3525,165,y,p,c,v,4,t,f,0,f,g,80,0,8.00E+05,NA,0,no.
a,2433,25,y,p,i,bb,45,f,f,0,f,g,200,456,2.00E+06,f,0,no.
a,1575,3.75E-03,u,g,c,v,1,f,f,0,f,g,120,18,1200000,f,0,no.
a,45,4585,u,g,k,h,1,f,f,0,t,s,240,0,2400000,NA,0,no.
a,3042,1375,u,g,W,h,4,f,t,3,f,g,0,33,0,NA,0,no.
a,NA,35,u,g,d,v,3,t,f,0,t,g,300,0,3.00E+06,NA,0,no.
b,1725,3.00E-04,u,g,k,v,4,f,f,0,t,g,160,40,1600000,NA,0,no.
a,3858,5.00E-04,u,g,cc,v,135,t,f,0,t,g,980,0,9800000,NA,0,no.
b,2267,7.50E-04,u,g,i,v,1585,f,t,1,t,g,400,9,4.00E+06,NA,0,no.
a,49,15,u,g,j,j,0,t,f,0,t,g,100,27,1.00E+06,f,0,no.
b,2783,15,u,g,W,v,225,f,t,1,t,g,100,3,1.00E+06,NA,0,no.
a,165,125,u,g,q,v,25,f,t,1,f,g,108,98,1080000,t,0,no.
b,2567,221,y,p,aa,v,4,t,f,0,f,g,188,0,1880000,f,0,no.
b,3667,2.00E-04,u,g,i,v,25,f,f,0,t,g,221,0,2210000,NA,0,no.
b,2617,8.35E-03,u,g,cc,v,1165,f,f,0,f,g,100,0,1.00E+06,f,0,no.
b,NA,5.00E-04,y,p,aa,v,85,t,f,0,f,g,0,0,0,f,0,no.
a,4725,7.50E-04,u,g,q,h,275,t,t,1,f,g,333,892,3330000,NA,1,yes.
a,3367,3.75E-03,u,g,cc,v,375,f,f,0,f,g,300,44,3.00E+06,NA,1,yes.
b,45,85,u,g,cc,h,14,t,t,1,t,g,88,2000,880000,t,1,yes.
b,3317,104,u,g,r,h,65,t,f,0,t,g,164,31285,1640000,NA,1,yes.
